date,symbol,bb_bandwidth
2026-08-08 00:00:00,BSOFT,0.2022
2026-08-08 00:00:00,CAMPUS,0.083
2026-08-08 00:00:00,CAMS,0.0961
2026-08-08 00:00:00,CANBK,0.0712
2026-08-08 00:00:00,CANFINHOME,0.1932
2026-08-08 00:00:00,CAPLIPOINT,0.0935
2026-08-08 00:00:00,CARBORUNIV,0.0515
2026-08-08 00:00:00,CARTRADE,0.1178
2026-08-08 00:00:00,CASTROLIND,0.0648
2026-08-08 00:00:00,CCAVENUE,0.1454
2026-08-08 00:00:00,CCL,0.1115
2026-08-08 00:00:00,CDSL,0.113
2026-08-08 00:00:00,CEATLTD,0.2108
2026-08-08 00:00:00,CELLO,0.1794
2026-08-08 00:00:00,CEMPRO,0.398
2026-08-08 00:00:00,CENTRALBK,0.0772
2026-08-08 00:00:00,CENTURYPLY,0.0478
2026-08-08 00:00:00,CERA,0.0617
2026-08-08 00:00:00,CESC,0.0406
2026-08-08 00:00:00,CGCL,0.2032
2026-08-08 00:00:00,CGPOWER,0.1443
2026-08-08 00:00:00,CHALET,0.0941
2026-08-08 00:00:00,CHAMBLFERT,0.0834
2026-08-08 00:00:00,CHENNPETRO,0.2075
2026-08-08 00:00:00,CHOICEIN,0.0625
2026-08-08 00:00:00,CHOLAFIN,0.1343
2026-08-08 00:00:00,CHOLAHLDNG,0.1158
2026-08-08 00:00:00,CIEINDIA,0.2634
2026-08-08 00:00:00,CIPLA,0.0703
2026-08-08 00:00:00,CLEAN,0.1132
2026-08-08 00:00:00,CMSINFO,0.06
2026-08-08 00:00:00,COALINDIA,0.0588
2026-08-08 00:00:00,COCHINSHIP,0.099
2026-08-08 00:00:00,COFORGE,0.3187
2026-08-08 00:00:00,COHANCE,0.0912
2026-08-08 00:00:00,COLPAL,0.0945
2026-08-08 00:00:00,CONCOR,0.1514
2026-08-08 00:00:00,CONCORDBIO,0.1619
2026-08-08 00:00:00,COROMANDEL,0.0675
2026-08-08 00:00:00,CPPLUS,0.1458
2026-08-08 00:00:00,CRAFTSMAN,0.2111
2026-08-08 00:00:00,CREDITACC,0.1137
2026-08-08 00:00:00,CRISIL,0.1407
2026-08-08 00:00:00,CRIZAC,0.0937
2026-08-08 00:00:00,CROMPTON,0.1007
2026-08-08 00:00:00,CSBBANK,0.1983
2026-08-08 00:00:00,CUB,0.1624
2026-08-08 00:00:00,CUMMINSIND,0.055
2026-08-08 00:00:00,CUPID,0.3104
2026-08-08 00:00:00,CYIENT,0.057
2026-08-08 00:00:00,DABUR,0.0657
2026-08-08 00:00:00,DALBHARAT,0.0628
2026-08-08 00:00:00,DATAMATICS,0.0904
2026-08-08 00:00:00,DATAPATTNS,0.1819
2026-08-08 00:00:00,DBL,0.2047
2026-08-08 00:00:00,DBREALTY,0.1022
2026-08-08 00:00:00,DCBBANK,0.0553
2026-08-08 00:00:00,DCMSHRIRAM,0.0548
2026-08-08 00:00:00,DEEPAKFERT,0.0912
2026-08-08 00:00:00,DEEPAKNTR,0.0961
2026-08-08 00:00:00,DELHIVERY,0.1281
2026-08-08 00:00:00,DEVYANI,0.2185
2026-08-08 00:00:00,DIACABS,0.6572
2026-08-08 00:00:00,DIVISLAB,0.2704
2026-08-08 00:00:00,DIXON,0.0922
2026-08-08 00:00:00,DLF,0.0728
2026-08-08 00:00:00,DMART,0.0593
2026-08-08 00:00:00,DOMS,0.0502
2026-08-08 00:00:00,DRREDDY,0.117
2026-08-08 00:00:00,DYNAMATECH,0.1391
2026-08-08 00:00:00,ECLERX,0.1923
2026-08-08 00:00:00,EDELWEISS,0.0837
2026-08-08 00:00:00,EICHERMOT,0.1381
2026-08-08 00:00:00,EIDPARRY,0.1001
2026-08-08 00:00:00,EIEL,0.1109
2026-08-08 00:00:00,EIHOTEL,0.0899
2026-08-08 00:00:00,ELECON,0.2216
2026-08-08 00:00:00,ELECTCAST,0.1142
2026-08-08 00:00:00,ELGIEQUIP,0.0607
2026-08-08 00:00:00,ELLEN,0.1506
2026-08-08 00:00:00,EMAMILTD,0.0773
2026-08-08 00:00:00,EMBDL,0.102
2026-08-08 00:00:00,EMCURE,0.1397
2026-08-08 00:00:00,EMIL,0.2851
2026-08-08 00:00:00,ENDURANCE,0.108
2026-08-08 00:00:00,ENGINERSIN,0.1087
2026-08-08 00:00:00,ENRIN,0.1465
2026-08-08 00:00:00,ENTERO,0.0743
